magnet_depth,magnet_angle,angle_margin,irms,degel,degmech,magnet_width,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,6.753333333333333,0.2,16.970562748477143,0,45.0,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.173699474874616,0.001007621960835961,-2.70739679665496e-05,-0.0009804791521721239
0.1,6.753333333333333,0.2,16.970562748477143,0,47.25,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.1714833049053022,0.001075386571872145,-7.913963117537134e-05,-0.0009956895280904129
0.1,6.753333333333333,0.2,16.970562748477143,0,49.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.1962164346642251,0.001147580494085369,-0.000154752115118235,-0.0009921424027616319
0.1,6.753333333333333,0.2,16.970562748477143,0,51.75,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.1959879515961234,0.001220082958545954,-0.0002383442576828508,-0.0009810498306452226
0.1,6.753333333333333,0.2,16.970562748477143,0,54.0,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.1908464656448448,0.00128903600662659,-0.0003191272389880325,-0.0009692312700537134
0.1,6.753333333333333,0.2,16.970562748477143,0,56.25,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.1799974649696694,0.001353178850809004,-0.0003960211636065872,-0.0009565057078290975
0.1,6.753333333333333,0.2,16.970562748477143,0,58.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.1216087857701305,0.001403083765595503,-0.0004647748793902643,-0.000937837988940819
0.1,6.753333333333333,0.2,16.970562748477143,0,60.75,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.05562444190540728,0.001430990646180326,-0.000524295622783758,-0.0009066786002308245
0.1,6.753333333333333,0.2,16.970562748477143,0,63.0,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.008423656028184965,0.001443632451333576,-0.0005857984517982325,-0.0008581020577544675
0.1,6.753333333333333,0.2,16.970562748477143,0,65.25,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,0.0005763229287665309,0.001445682678088857,-0.0006536746304055098,-0.0007923107470516188
0.1,6.753333333333333,0.2,16.970562748477143,0,67.5,6.091049530793839,0.1,6.753333333333333,2.436419812317552e-06,-9.11644238164954e-06,0.001445818757402503,-0.0007226749936154733,-0.0007234478936472135
0.1,23.386666666666667,0.2,0.0,0,22.5,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,1.003619241791589e-05,-0.0005038982560793829,0.000252313099713361,0.0002520735886372113
0.1,23.386666666666667,0.2,0.0,0,24.75,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,0.0003292604146348992,-0.0005038530315293042,0.0003329912552226141,0.0001713521383170802
0.1,23.386666666666667,0.2,0.0,0,27.0,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,0.01006368897717636,-0.000500893400606768,0.0004088287728652385,9.252486600748741e-05
0.1,23.386666666666667,0.2,0.0,0,29.25,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,0.005365561126215877,-0.0004833924028087906,0.0004615215732677086,2.20440681112436e-05
0.1,23.386666666666667,0.2,0.0,0,31.5,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,-0.009981619390065808,-0.000446867473732196,0.0004913382648832067,-4.476360059465526e-05
0.1,23.386666666666667,0.2,0.0,0,33.75,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,-0.005385220852987606,-0.0003847731542264838,0.0005027836631095065,-0.0001184739428439375
0.1,23.386666666666667,0.2,0.0,0,36.0,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,3.161228775020526e-05,-0.0003057948941478733,0.0005038176409776406,-0.0001984935045127464
0.1,23.386666666666667,0.2,0.0,0,38.25,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,-6.6539408595065e-05,-0.0002250205515003618,0.000503818624770423,-0.0002792693325600634
0.1,23.386666666666667,0.2,0.0,0,40.5,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,0.001764745690365617,-0.0001444881239041891,0.0005035516149489987,-0.0003595379032646277
0.1,23.386666666666667,0.2,0.0,0,42.75,6.197558760213828,0.1,23.386666666666667,2.479023504085531e-06,0.01214579039997401,-6.786872747400016e-05,0.0004970718875126684,-0.0004295931198858863
