magnet_depth,ratio,irms,degel,degmech,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,0.6633333333333333,16.970562748477143,0,24.75,0,0.1,0.6633333333333333,2.526206308319773e-06,0.005284616238910921,0.0006452002745809404,-0.000289451077539168,-0.0003560762047339851
0.1,0.6633333333333333,16.970562748477143,0,27.0,0,0.1,0.6633333333333333,2.526206308319773e-06,0.02171855707142895,0.0006496055285643505,-0.0002585453500748075,-0.00039132505911918
0.1,0.6633333333333333,16.970562748477143,0,29.25,0,0.1,0.6633333333333333,2.526206308319773e-06,0.04256831653056162,0.000662600890130804,-0.0002347668843327685,-0.0004278288676715545
0.1,0.6633333333333333,16.970562748477143,0,31.5,0,0.1,0.6633333333333333,2.526206308319773e-06,0.06239982656259754,0.0006846472943931145,-0.0002184116400425709,-0.0004658361389429041
0.1,0.6633333333333333,16.970562748477143,0,33.75,0,0.1,0.6633333333333333,2.526206308319773e-06,0.08747723686848088,0.0007167986909431315,-0.0002084713255501118,-0.0005077403664711172
0.1,0.6633333333333333,16.970562748477143,0,36.0,0,0.1,0.6633333333333333,2.526206308319773e-06,0.09292027044577017,0.0007545285022591029,-0.0002039956589991766,-0.0005499327503780501
0.1,0.6633333333333333,16.970562748477143,0,38.25,0,0.1,0.6633333333333333,2.526206308319773e-06,0.08888144240508987,0.0007908812187348049,-0.0002017756279426042,-0.0005885396770683347
0.1,0.6633333333333333,16.970562748477143,0,40.5,0,0.1,0.6633333333333333,2.526206308319773e-06,0.08520807195951544,0.0008227704180485395,-0.0002016179183728056,-0.0006206449688028233
0.1,0.6633333333333333,16.970562748477143,0,42.75,0,0.1,0.6633333333333333,2.526206308319773e-06,0.08675104190256086,0.0008520391012715164,-0.0002075183162315258,-0.000644142285319036
0.1,0.6633333333333333,16.970562748477143,0,45.0,0,0.1,0.6633333333333333,2.526206308319773e-06,0.0887724809951006,0.0008839970254994821,-0.0002235155556032458,-0.0006603946928108323
0.1,0.6633333333333333,16.970562748477143,0,47.25,0,0.1,0.6633333333333333,2.526206308319773e-06,0.1018248251778455,0.0009229214252774609,-0.0002493681416655197,-0.0006737449962763575
0.1,0.6633333333333333,16.970562748477143,0,49.5,0,0.1,0.6633333333333333,2.526206308319773e-06,0.1125468096169001,0.000971879269914004,-0.0002852541707587341,-0.0006868896482029821
0.1,0.6633333333333333,16.970562748477143,0,51.75,0,0.1,0.6633333333333333,2.526206308319773e-06,0.1073584120562486,0.001022284670568646,-0.0003241147999392476,-0.0006984234831161505
0.1,0.6633333333333333,16.970562748477143,0,54.0,0,0.1,0.6633333333333333,2.526206308319773e-06,0.09581284810442695,0.001067258472945341,-0.0003608837526079705,-0.000706593866603272
0.1,0.6633333333333333,16.970562748477143,0,56.25,0,0.1,0.6633333333333333,2.526206308319773e-06,0.07961443363244047,0.001103082535219518,-0.0003933289907069828,-0.0007099130917775123
0.1,0.6633333333333333,16.970562748477143,0,58.5,0,0.1,0.6633333333333333,2.526206308319773e-06,0.05397504663500251,0.001127405223691996,-0.000423161748149983,-0.0007042480571671356
0.1,0.6633333333333333,16.970562748477143,0,60.75,0,0.1,0.6633333333333333,2.526206308319773e-06,0.03363515751207761,0.001142057552093886,-0.0004533394549101987,-0.0006884560132740406
0.1,0.6633333333333333,16.970562748477143,0,63.0,0,0.1,0.6633333333333333,2.526206308319773e-06,0.01913377300410646,0.001152198265558692,-0.0004900765551848774,-0.0006616801877946029
0.1,0.6633333333333333,16.970562748477143,0,65.25,0,0.1,0.6633333333333333,2.526206308319773e-06,0.008578470411460233,0.00115971420141366,-0.0005354267880821912,-0.0006238139861048126
