magnet_depth,ratio,irms,degel,degmech,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,0.5326666666666666,16.970562748477143,144.0,36.0,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1215674787346396,-0.0009435667717319056,0.0002598689947654507,0.0006839799840761119
0.1,0.5326666666666666,16.970562748477143,153.0,38.25,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1302832126658245,-0.0009711508608716385,0.0003969235243335157,0.0005745399383103046
0.1,0.5326666666666666,16.970562748477143,162.0,40.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1493914337826741,-0.0009699491251255846,0.000521848037065703,0.0004483368061985713
0.1,0.5326666666666666,16.970562748477143,171.0,42.75,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1667467299678316,-0.0009420950486345837,0.000635979570711406,0.0003062137538772841
0.1,0.5326666666666666,16.970562748477143,180.0,45.0,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1616174872869644,-0.0008915839205536689,0.0007408629676733579,0.0001507502059030798
0.1,0.5326666666666666,16.970562748477143,189.0,47.25,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1315024057633765,-0.000827011129324411,0.0008347888724542827,-7.825743432871906e-06
0.1,0.5326666666666666,16.970562748477143,198.0,49.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1203015110446724,-0.0007472020002317014,0.0009091785823113987,-0.0001621871739893863
0.1,0.5326666666666666,16.970562748477143,207.0,51.75,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1237145983804257,-0.0006492529556386654,0.0009561039221950374,-0.0003071747992825968
0.1,0.5326666666666666,16.970562748477143,216.0,54.0,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.135569847720741,-0.0005341309219335333,0.0009740408367517819,-0.0004402349033664105
0.1,0.5326666666666666,16.970562748477143,225.0,56.25,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1563302114900883,-0.0004025892905555389,0.0009635989735007136,-0.000561227127981147
0.1,0.5326666666666666,16.970562748477143,234.0,58.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1694696761299211,-0.0002554478371528735,0.0009275713397671775,-0.000672224730381728
0.1,0.5326666666666666,16.970562748477143,243.0,60.75,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1514558635033181,-9.748918963613526e-05,0.0008713712290491166,-0.0007739214889810754
0.1,0.5326666666666666,16.970562748477143,252.0,63.0,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.125456632537287,5.995766876813369e-05,0.0008025893598758633,-0.0008624902090397427
0.1,0.5326666666666666,16.970562748477143,261.0,65.25,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1203197795185978,0.000211928843469307,0.0007165804249615431,-0.0009282704450029966
0.1,0.5326666666666666,16.970562748477143,270.0,67.5,0,0.1,0.5326666666666666,2.526288438376936e-06,-0.1265065692885922,0.0003529025742545184,0.0006129577328951281,-0.0009655496733169992
0.1,0.6633333333333333,16.970562748477143,90.0,22.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.110554074953995,-0.0002464454729905788,-0.000663861173321568,0.0009099790172481104
0.1,0.6633333333333333,16.970562748477143,99.0,24.75,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.1184797900506895,-0.0003801682086728442,-0.0005467348788933123,0.0009265739454144728
0.1,0.6633333333333333,16.970562748477143,108.0,27.0,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.111726708767182,-0.0005062149120328326,-0.0004124038875226826,0.0009183384478275075
0.1,0.6633333333333333,16.970562748477143,117.0,29.25,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.0923488877634245,-0.0006233560349046683,-0.0002711026665611446,0.000894400574398124
0.1,0.6633333333333333,16.970562748477143,126.0,31.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.08690604484393154,-0.0007303832572867777,-0.0001273255535078025,0.0008579403770104084
0.1,0.6633333333333333,16.970562748477143,135.0,33.75,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.09127621957247081,-0.0008197973693541659,1.513066857057781e-05,0.000804975042869796
0.1,0.6633333333333333,16.970562748477143,144.0,36.0,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.1022528321268249,-0.0008834315593838073,0.0001545478186378214,0.0007291726737310766
0.1,0.6633333333333333,16.970562748477143,153.0,38.25,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.1141144235921921,-0.0009185766175034499,0.0002917854012562041,0.0006270874061802123
0.1,0.6633333333333333,16.970562748477143,162.0,40.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.1186613892606834,-0.0009262813714335925,0.0004231636623981651,0.0005034046278993476
0.1,0.6633333333333333,16.970562748477143,171.0,42.75,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.104669481358044,-0.0009116904614415521,0.0005462836548212553,0.0003656006758210689
0.1,0.6633333333333333,16.970562748477143,180.0,45.0,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.08874626154440649,-0.0008839290778880907,0.000660408793363469,0.0002234386289740058
0.1,0.6633333333333333,16.970562748477143,189.0,47.25,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.08776607465147747,-0.0008423464408170159,0.00076263831341774,7.938717002526733e-05
0.1,0.6633333333333333,16.970562748477143,198.0,49.5,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.09413162363441306,-0.0007828179363389382,0.0008440578675688376,-6.156144208520898e-05
0.1,0.6633333333333333,16.970562748477143,207.0,51.75,0,0.1,0.6633333333333333,2.526206308319773e-06,-0.1065268525251352,-0.0006979783347323971,0.0008983415945982638,-0.0002006824438341962
