magnet_depth,ratio,angle,magangle,halbach_side,create_by_angle,irms,degel,degmech,ratio_inner,ratio_outer,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
3,0.1,-7.999999999999986,-39.0,B,True,0.0,0,22.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.000332193518223,-0.0023090183044281,0.0011569425170303,0.0011564838280625
3,0.1,-7.999999999999986,-39.0,B,True,0.0,0,27.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,0.0841334553624505,-0.0022168903032575,0.0017341931281871,0.000484865598115
3,0.1,-7.999999999999986,-39.0,B,True,0.0,0,31.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.0463705833904698,-0.001892188454952,0.0021351241488472,-0.0002439260705494
3,0.1,-7.999999999999986,-39.0,B,True,0.0,0,36.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.0841121576933227,-0.0013593236361285,0.0022997876565714,-0.0009444816019678
3,0.1,-7.999999999999986,-39.0,B,True,0.0,0,40.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,0.1011969559001804,-0.0007196007678663,0.002270059952246,-0.0015536114680264
3,0.1,-7.999999999999986,-39.0,B,True,0.0,0,45.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.0001625502467207,3.694487877138696e-08,0.0020253713174002,-0.0020253970077664
3,0.1,-7.999999999999986,-39.0,B,True,0.0,0,49.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.1019662763214039,0.0007197715310314,0.0015537549321504,-0.0022703440235297
3,0.1,-7.999999999999986,-39.0,B,True,0.0,0,54.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,0.0850280859840235,0.0013595449781121,0.000944405440262,-0.0022999164375033
3,0.1,-7.999999999999986,-39.0,B,True,0.0,0,58.5,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,0.046196097963943,0.0018922803462893,0.0002437187848406,-0.0021350059460472
3,0.1,-7.999999999999986,-39.0,B,True,0.0,0,63.0,0.0058645570064353,0.1941354429935647,-7.999999999999986,-39.0,6.880319606540077e-05,-0.0838692602527498,0.0022165904079358,-0.0004850610393205,-0.0017336946277243
