magnet_depth,ratio,halbach_side,irms,degel,degmech,angle,x,y,magarea,torque_airgap,flux_a,flux_b,flux_c
0.1,0.206,B,16.970562748477143,234.0,58.5,0,0.1,0.206,2.525800360141944e-06,-0.204701711873962,-0.0001240297273043546,0.000976143302611152,-0.0008520664656337361
0.1,0.206,B,16.970562748477143,252.0,63.0,0,0.1,0.206,2.525800360141944e-06,-0.2158961911167168,0.0002026035128600116,0.000798453657222581,-0.001001319149681116
0.1,0.206,B,16.970562748477143,270.0,67.5,0,0.1,0.206,2.525800360141944e-06,-0.2153509945197448,0.0005124487624705459,0.0005359642272193731,-0.001048967088525969
0.1,0.07533333333333332,B,16.970562748477143,90.0,22.5,0,0.1,0.07533333333333332,2.525564706036925e-06,-0.2501879441288815,-0.0005337160534303839,-0.0005313773872784268,0.001065724306880564
0.1,0.07533333333333332,B,16.970562748477143,108.0,27.0,0,0.1,0.07533333333333332,2.525564706036925e-06,-0.1998709665732434,-0.0008229056275262876,-0.0001953024725793216,0.001018637820480354
0.1,0.07533333333333332,B,16.970562748477143,126.0,31.5,0,0.1,0.07533333333333332,2.525564706036925e-06,-0.2174208611774561,-0.001008570174520926,0.0001304688560011677,0.0008777616530945052
0.1,0.07533333333333332,B,16.970562748477143,144.0,36.0,0,0.1,0.07533333333333332,2.525564706036925e-06,-0.2515142635095026,-0.001066227039231385,0.0004322426306106188,0.0006333398536459492
0.1,0.07533333333333332,B,16.970562748477143,162.0,40.5,0,0.1,0.07533333333333332,2.525564706036925e-06,-0.2193864149122064,-0.00104219761186534,0.000732471328406098,0.0003091726959349681
0.1,0.07533333333333332,B,16.970562748477143,180.0,45.0,0,0.1,0.07533333333333332,2.525564706036925e-06,-0.1991162014536048,-0.0009356740023863326,0.0009621178878138972,-2.634524778566497e-05
0.1,0.07533333333333332,B,16.970562748477143,198.0,49.5,0,0.1,0.07533333333333332,2.525564706036925e-06,-0.2458529630979909,-0.0007256939250689056,0.001058597303950955,-0.000332232113168498
0.1,0.07533333333333332,B,16.970562748477143,216.0,54.0,0,0.1,0.07533333333333332,2.525564706036925e-06,-0.2407357581229404,-0.000422066821211684,0.001057449183332698,-0.0006347198759239084
